ID,OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,HalfBath,GarageCars,GarageArea,SalePrice
501,10,1149,1989,2034,2,1,1,554,232838
502,7,2635,1980,1206,1,0,4,663,423256
503,1,1053,1996,2187,4,1,3,367,185900
504,2,3313,1940,2910,1,2,3,698,183226
505,9,2403,1901,1071,1,2,4,185,327165
506,1,3395,1933,2189,3,0,3,919,197821
507,1,714,1935,3003,2,2,1,633,384301
508,5,657,1906,457,4,0,4,83,130868
509,3,2738,1972,945,3,1,3,632,214053
510,2,3425,1927,1166,4,1,2,821,340311
511,10,2415,2012,1927,1,1,2,54,104738
512,3,1995,1958,3450,1,2,3,776,337771
513,5,935,1959,3386,2,0,4,764,142509
514,4,2120,1938,383,2,0,0,68,285483
515,9,863,1927,2044,2,0,2,475,85183
516,3,2650,1949,2888,2,2,3,376,61208
517,2,1983,1948,1350,1,2,2,601,423473
518,10,2628,1935,1568,4,1,4,696,450423
519,6,1547,1931,2479,3,0,2,476,476096
520,6,1617,1929,1667,3,1,2,30,316609
521,1,1235,2012,1375,3,2,2,183,302875
522,10,1101,1971,1131,2,1,3,919,111194
523,2,3307,2022,1426,3,2,0,901,198074
524,8,653,1921,2210,1,2,2,58,388507
525,5,1356,1963,1480,1,1,2,702,369836
526,7,2797,1944,2951,4,0,1,283,390164
527,10,3314,2012,2764,1,1,1,244,428459
528,3,2848,1928,1201,1,0,3,303,120174
529,7,3231,2015,3255,3,1,3,836,407257
530,6,2332,1965,2535,3,2,2,586,389038
531,1,2317,1931,199,3,1,4,26,240655
532,5,746,1938,985,2,0,1,362,190927
533,1,1551,1966,1477,2,1,0,707,82770
534,10,1460,1954,2907,3,0,3,866,494451
535,3,685,1920,3202,1,1,3,834,176955
536,2,1740,1902,895,3,2,2,122,438657
537,8,1882,1989,151,4,2,2,626,258559
538,2,1675,1931,2673,1,1,2,519,449740
539,2,733,2008,2231,2,0,2,564,201874
540,2,2831,2021,2209,3,0,3,881,127366
541,9,3344,2017,436,2,0,1,388,150980
542,7,2868,1944,2184,2,2,4,897,264120
543,5,2873,1963,1452,4,2,4,588,96445
544,9,3207,1903,168,2,2,1,546,187985
545,8,3275,1984,1506,2,2,0,913,140616
546,6,3096,1909,2984,2,0,4,88,372303
547,3,1543,1979,2224,1,0,4,660,93520
548,10,1929,1935,2937,1,2,0,306,142708
549,2,3199,1978,69,4,1,1,688,206996
550,5,3157,1926,3407,4,1,0,543,85385
551,10,2236,2000,52,2,1,3,762,330649
552,3,3340,2008,3410,4,1,3,738,304593
553,6,1302,1999,189,4,0,2,831,420727
554,9,1079,1913,1624,3,1,1,69,380661
555,1,1392,1941,2829,4,2,1,588,401130
556,10,1802,1988,3186,1,2,1,756,218467
557,2,1718,1909,839,1,1,4,940,485832
558,9,3340,2007,418,4,1,0,449,267274
559,6,1933,1994,1455,4,0,2,605,274690
560,5,2216,2018,2782,3,1,0,40,476278
561,10,3100,1959,1979,1,1,1,414,256600
562,7,861,2010,2845,1,1,1,721,479826
563,6,885,1962,1710,2,1,1,559,176011
564,10,2045,1931,1943,2,0,0,147,218638
565,4,3347,1940,3301,4,0,1,266,208512
566,10,1767,1999,2290,2,2,0,835,326764
567,3,936,2015,3005,4,1,1,118,167202
568,9,1789,1954,1529,2,2,1,929,321548
569,6,1233,1937,174,1,2,3,446,306640
570,2,627,1946,1657,1,1,2,77,212263
571,9,2036,1914,2920,3,0,0,318,273760
572,2,1228,1908,74,3,0,4,695,326698
573,4,2355,1971,2043,4,1,4,661,348456
574,8,2501,1901,56,3,1,4,360,463488
575,2,1389,1972,3349,1,2,0,288,156764
576,5,1237,1945,357,1,0,0,186,494064
577,4,1851,1985,748,1,0,2,36,289578
578,5,653,1980,3454,1,2,2,719,53877
579,1,529,1997,461,2,0,1,191,191756
580,5,1409,1999,679,1,0,1,972,341939
581,8,3150,1923,3274,4,2,3,618,105013
582,2,1491,1933,2133,1,2,4,902,334650
583,5,1163,1988,2902,1,1,1,233,221443
584,5,1063,1993,3368,3,2,4,666,329140
585,7,1777,2012,1046,3,1,4,63,164368
586,5,2880,2007,242,2,1,4,252,310023
587,3,2366,1931,161,4,0,1,120,454116
588,9,2108,1913,504,1,1,4,532,173197
589,4,2791,1991,1188,4,0,3,42,438014
590,2,913,2020,2300,3,0,0,876,159263
591,1,3045,2019,2065,3,1,4,243,208037
592,7,737,1998,1740,1,2,1,152,215439
593,3,1900,1984,348,2,2,4,904,188339
594,2,1770,1911,308,1,1,4,392,215983
595,10,1052,1901,1961,2,1,2,772,50363
596,4,1871,2021,2994,3,1,3,490,466658
597,1,513,2004,1921,3,0,0,587,128838
598,6,2485,1901,749,4,1,1,794,162312
599,7,1253,2008,3305,2,2,0,844,101227
600,2,1302,1961,2282,2,1,2,414,165313
601,3,907,1944,331,4,1,1,18,492875
602,8,1377,1903,766,3,1,3,908,486696
603,5,3465,1968,651,4,2,0,494,230014
604,3,3003,1994,1559,1,0,3,877,101151
605,5,2082,1910,307,4,2,1,488,199361
606,1,787,2012,2771,1,0,1,893,491761
607,10,3063,1960,2697,2,0,0,855,333482
608,10,3101,1936,3335,1,0,3,286,106142
609,4,3138,1960,3134,2,1,4,747,231852
610,10,3146,1971,1166,4,1,4,977,282216
611,2,3467,1937,3469,4,2,1,601,142423
612,7,2832,1924,352,4,0,0,112,269367
613,7,3453,1910,747,1,1,0,882,61844
614,7,2217,1944,803,3,0,0,275,304733
615,7,3120,1957,2093,4,2,4,713,308803
616,3,2436,1935,1887,2,2,0,428,402250
617,4,1158,1997,2328,2,2,0,169,485515
618,2,2879,1975,3258,4,1,1,223,101833
619,6,2595,1945,337,1,0,1,609,87605
620,2,1113,1915,2056,1,1,3,812,162194
621,8,1524,1971,1068,4,1,0,65,486125
622,1,2202,1991,1073,2,0,2,938,210408
623,8,1268,1955,575,3,1,0,585,104498
624,10,3377,1926,307,3,1,1,954,102236
625,10,3133,1941,1171,2,2,4,85,206956
626,6,1457,1969,2351,1,2,1,550,268049
627,2,974,1957,2240,2,0,4,692,334838
628,2,2253,1973,2673,4,1,2,70,310473
629,1,2970,2015,1058,2,1,4,854,351823
630,7,723,2004,1401,3,1,1,143,159889
631,5,1620,1926,2505,1,0,4,366,58997
632,10,1018,1977,3030,2,1,4,12,180030
633,1,1196,1926,2365,4,1,0,18,73180
634,10,1058,1956,2052,3,0,3,514,344613
635,10,2086,2005,951,4,1,4,160,343568
636,7,1339,1979,6,3,2,0,424,430606
637,2,1140,1973,2515,4,0,1,156,470705
638,4,3343,1933,1579,1,0,2,171,113513
639,9,1447,2011,2585,2,2,0,97,219510
640,5,3471,1911,3067,1,1,2,451,221347
641,4,542,1994,1098,4,2,1,32,67050
642,4,1330,1923,1112,2,1,2,172,489130
643,1,871,1955,2242,2,2,2,425,467758
644,8,1455,1923,713,3,0,4,403,125934
645,5,1382,1959,1163,2,2,0,499,493684
646,9,1582,1923,82,1,1,3,24,214213
647,2,2996,1994,3164,2,0,0,748,324000
648,2,1514,2019,3289,1,0,3,233,332463
649,2,1540,2015,3185,2,2,4,416,462650
650,4,3264,1995,2547,4,2,1,429,332472
651,9,3023,1995,1578,2,1,2,178,264597
652,2,1978,1972,2745,3,2,0,768,188167
653,10,3108,1985,2642,4,0,3,104,494923
654,1,511,1965,431,1,1,0,198,454522
655,7,1465,1923,3148,2,2,2,537,289781
656,2,1538,1957,391,3,0,1,305,53652
657,7,2134,1981,1653,1,1,2,716,472262
658,10,3172,1989,1291,2,2,2,53,179420
659,8,3321,1961,384,4,1,4,661,417075
660,10,3063,2019,2577,4,1,4,236,202779
661,1,2608,1999,2221,2,2,2,625,215392
662,1,1677,1990,2929,2,2,3,624,114980
663,5,3000,1999,3164,3,1,1,738,474116
664,6,2511,1927,652,4,0,0,190,272053
665,1,3095,1979,1164,2,1,2,82,141039
666,1,1030,1999,3110,3,1,1,392,269458
667,6,1290,1960,138,2,0,2,460,236544
668,1,2306,1933,701,2,0,3,851,455511
669,5,1377,1901,3168,3,1,0,2,308199
670,7,2628,1972,1137,3,1,1,877,89838
671,1,770,1959,2196,4,2,3,553,380410
672,7,3381,1950,197,1,1,4,554,143276
673,10,961,1980,2791,2,1,2,310,187789
674,3,1633,1999,379,4,1,1,756,460118
675,4,3175,2008,2580,4,2,0,342,231040
676,8,1491,1988,1460,3,2,1,965,71564
677,8,1499,1942,2753,2,0,2,236,214770
678,10,2515,1922,2565,3,2,3,228,458631
679,1,2595,1969,1080,4,2,0,614,387265
680,3,1866,1937,2046,2,2,3,696,133028
681,8,1471,1958,3488,2,0,3,552,475301
682,9,672,1956,3283,2,1,2,53,411597
683,1,2231,1931,912,3,0,1,608,305312
684,5,1771,1950,1814,4,1,2,439,119719
685,9,2945,1990,1354,4,0,0,502,119985
686,1,1810,1940,1014,2,1,1,200,50594
687,4,1123,1955,89,2,1,1,704,261027
688,6,604,2010,728,2,0,0,578,274181
689,10,2634,1918,3352,3,0,0,549,431050
690,6,2151,1976,347,4,1,2,594,350699
691,1,2747,2009,532,1,2,4,911,313070
692,5,3284,1975,3238,4,2,1,934,261713
693,4,1625,1971,2944,1,2,0,632,98922
694,4,567,1996,3112,3,0,4,664,215068
695,6,2177,1924,2134,1,1,2,195,332174
696,4,3221,1983,3417,4,2,1,969,283071
697,4,857,1918,3210,4,2,1,556,491923
698,2,2190,1971,985,1,0,4,394,154199
699,8,784,1995,1747,1,2,2,0,312181
700,3,2590,2009,1255,4,2,3,796,476072
701,9,2592,1934,467,1,1,2,347,259397
702,4,3363,1969,2463,4,2,2,756,136738
703,7,3151,2001,1532,1,0,3,600,102090
704,2,1157,1971,1667,4,1,2,878,280378
705,5,1141,1976,82,3,2,1,107,129711
706,8,1017,1936,2655,4,0,0,338,315703
707,5,1133,1977,1226,3,0,1,113,167202
708,1,3445,1907,378,3,2,3,773,405841
709,4,2938,1960,1619,1,1,3,127,59934
710,3,953,1998,2995,4,2,4,91,192070
711,1,1513,1923,1945,3,0,0,168,105320
712,1,2994,2013,1711,2,2,1,908,141165
713,4,3276,1946,184,1,0,0,683,454904
714,2,661,1951,2951,4,1,4,588,52955
715,4,740,2011,1955,2,0,0,294,267412
716,9,1378,1988,331,4,2,4,198,386967
717,6,1083,1995,3351,4,0,0,583,351469
718,6,1184,1920,1786,3,0,3,198,387551
719,3,2735,1967,2031,1,2,4,442,441342
720,7,810,1997,1157,2,1,3,756,122171
721,9,3363,2002,1260,1,2,4,307,386039
722,3,1029,1965,1362,4,2,1,578,72324
723,7,1057,2012,1629,2,2,0,765,245333
724,5,2567,1940,825,1,0,3,617,281644
725,3,2129,1968,2636,2,2,2,161,272812
726,2,688,2007,1244,4,2,0,335,272049
727,4,2569,1908,2929,4,0,2,701,82722
728,4,1506,1908,1826,4,0,3,567,269135
729,2,849,2007,2856,2,2,0,288,316605
730,2,2820,2016,492,3,1,4,940,56936
731,4,2509,1974,3228,4,0,4,233,78033
732,5,1233,1945,541,2,1,0,597,50641
733,2,1302,1993,1947,4,2,3,467,261141
734,7,2910,1901,2025,2,2,2,412,182209
735,6,1347,1964,1134,1,0,2,533,463781
736,2,2624,1971,2146,4,0,0,859,354710
737,7,970,1964,1321,2,0,3,627,451418
738,8,3271,2008,2460,2,2,0,881,290452
739,8,963,1904,2105,2,0,2,620,83281
740,6,2620,1927,647,2,0,3,748,225971
741,5,3314,1965,1660,1,2,1,48,185397
742,2,1547,2022,798,3,2,3,292,282657
743,10,3087,2006,8,1,2,0,565,103000
744,10,1615,1940,974,3,2,2,80,247335
745,7,534,1976,126,1,0,0,689,91007
746,2,667,1968,276,1,2,3,946,266541
747,5,1741,1957,944,4,2,1,868,202486
748,1,551,1900,2402,1,0,3,282,400039
749,4,3407,2021,1178,1,0,3,214,401778
750,6,3366,2015,260,2,2,2,669,392146
751,5,3238,1917,1693,4,2,4,647,187275
752,3,1068,1946,2190,1,1,2,500,239875
753,2,601,1990,2336,1,0,0,527,426143
754,1,2767,1954,2740,2,1,2,501,299698
755,3,3366,1976,58,4,0,4,281,294033
756,8,2567,1949,725,4,0,3,672,207080
757,3,2207,1943,2961,3,0,1,52,285480
758,10,759,1920,3009,1,0,0,115,95962
759,7,2056,1936,2022,3,1,4,232,297270
760,8,2978,1959,2548,4,2,4,431,394691
761,1,1461,1921,11,1,0,1,934,351159
762,7,1794,1953,342,1,1,0,427,471322
763,6,2675,1977,2719,2,0,2,256,410204
764,8,2308,1927,1215,2,1,2,861,266092
765,2,2197,2001,1649,3,1,3,608,322798
766,6,1487,1978,2743,1,2,0,867,131819
767,7,2110,1926,1066,4,2,4,862,488645
768,4,2625,1999,3220,4,2,1,548,456133
769,5,2172,1981,1173,2,1,2,957,120608
770,6,2238,2005,3033,1,2,3,422,364186
771,3,2539,1931,3310,4,2,1,401,488873
772,8,3127,1920,993,3,2,3,279,446284
773,1,553,1970,1650,2,2,3,647,368960
774,5,2244,1950,318,2,2,3,242,121213
775,7,652,1901,2155,1,1,1,466,158325
776,9,3396,1917,1015,1,2,0,546,94379
777,1,2550,2017,3076,2,2,1,354,310983
778,9,1933,1951,814,4,0,1,495,61178
779,7,2622,1938,181,1,2,4,985,149378
780,7,908,1996,105,2,2,2,204,158788
781,9,2300,1972,2867,3,0,4,141,297989
782,1,2551,1998,728,3,1,1,327,365637
783,4,2089,1927,143,1,1,4,659,243083
784,9,967,1957,1337,4,0,0,348,400270
785,9,3357,2000,1456,1,2,2,581,444409
786,10,1047,1942,611,2,1,1,133,305365
787,3,1138,1958,1515,3,1,3,565,380599
788,8,1130,1952,1582,4,2,1,16,118525
789,10,2876,2002,2974,3,1,1,527,464034
790,3,3283,1987,2910,2,0,3,320,481052
791,5,3440,1937,1317,4,1,4,920,79810
792,8,3204,1962,806,4,2,4,259,204504
793,10,1978,1980,2063,3,0,3,364,394698
794,7,3181,1911,2066,3,1,4,197,258106
795,5,848,1942,106,3,0,2,69,184349
796,4,1473,1918,2400,4,2,0,970,441055
797,1,3146,1965,693,2,2,4,944,292191
798,1,1353,1954,2535,4,2,4,619,467383
799,8,1409,2016,1110,1,0,1,310,320964
800,5,1144,1963,428,4,0,3,735,182426
801,4,1355,1950,491,3,2,4,415,205702
802,7,1886,1934,1188,4,2,0,494,207645
803,10,1173,1903,2957,4,0,0,129,398448
804,7,1504,1902,3109,3,1,1,379,260309
805,2,3255,1919,535,2,0,3,451,73843
806,5,648,1971,924,2,1,1,352,220434
807,5,2211,2022,90,4,1,0,707,166805
808,10,1353,1958,789,4,2,3,886,57210
809,9,1749,1975,2522,4,1,1,38,214680
810,6,2967,1936,3177,2,2,2,699,65240
811,9,1370,1942,562,4,2,3,447,114136
812,2,3385,1981,1840,3,1,3,62,250304
813,1,1352,1925,1800,1,2,1,129,479814
814,5,3420,1957,3192,3,0,2,611,88984
815,5,2502,1904,2027,1,0,4,533,373954
816,6,808,1955,1680,4,2,0,520,385400
817,7,2158,1968,1595,3,1,3,190,77522
818,9,2855,1940,2748,1,2,1,502,476566
819,1,1408,1941,143,3,1,2,473,480581
820,2,1636,1979,2508,4,1,3,623,147567
821,2,691,2001,2408,4,1,0,937,450557
822,10,1703,2010,2419,1,2,3,599,442859
823,1,2862,1954,2172,1,1,4,902,157182
824,6,530,2011,1207,1,2,0,60,174671
825,9,2210,1949,2372,4,1,3,465,129531
826,1,1780,2005,1632,4,0,1,603,60270
827,10,2350,1998,2583,3,1,1,674,468663
828,5,1296,2014,1318,2,0,2,522,316005
829,4,1788,2004,1371,3,0,4,323,135942
830,9,1699,1961,2536,1,0,4,670,407976
831,5,2615,1939,966,2,0,1,816,61260
832,6,3088,1949,649,3,1,2,45,377040
833,2,714,1984,1444,1,0,2,811,413156
834,7,3046,1917,1955,1,1,3,946,63386
835,10,2795,1910,2489,3,0,2,31,410320
836,3,2166,1966,3142,2,1,3,307,233285
837,7,3188,1978,675,2,0,1,519,392868
838,7,2325,1982,2452,3,0,1,610,138209
839,6,1564,1924,1523,4,0,4,651,207804
840,7,2175,1966,1350,3,0,1,3,276539
841,4,2788,2004,3151,2,1,1,288,468808
842,8,775,2014,3464,3,1,2,152,305858
843,7,3042,1917,3092,3,2,3,454,315208
844,1,971,1949,196,1,1,1,316,133301
845,4,2151,1900,1793,1,0,4,343,446768
846,10,3034,2009,653,1,2,2,104,71963
847,1,616,1989,1302,1,1,4,841,264770
848,1,3282,1974,1969,4,1,3,198,272072
849,7,1832,1912,1951,4,0,4,865,498600
850,1,2588,1985,2036,4,1,1,715,463316
851,4,2804,1974,1304,3,2,2,591,494361
852,4,1139,1900,357,4,1,0,933,265433
853,2,1819,2019,339,3,0,0,570,292073
854,10,3077,1981,493,2,2,1,482,263161
855,1,2290,1945,659,3,1,0,545,59191
856,6,1965,1909,999,2,2,3,451,236174
857,3,2606,1974,2644,1,2,3,308,400449
858,8,819,1950,1668,2,0,0,12,211361
859,10,3013,2016,2411,4,2,0,560,132497
860,8,1228,1915,921,1,0,0,373,415018
861,2,2991,1941,1049,2,0,0,633,124874
862,10,3322,1943,2435,1,1,2,25,166572
863,9,1419,1920,2965,3,1,3,250,211509
864,5,1442,1927,1093,3,1,2,567,108143
865,7,1171,1999,1993,3,0,4,482,168094
866,6,3259,1925,794,4,1,4,749,186929
867,7,1898,1971,1613,4,0,0,533,73405
868,10,2799,1998,883,4,2,3,327,135798
869,8,3241,1976,147,1,1,0,261,249844
870,3,3396,1900,2854,4,2,3,266,435922
871,3,3493,1982,2539,1,2,3,504,300901
872,8,3090,1902,3491,2,0,1,177,155719
873,7,1004,1927,3014,3,0,1,135,239890
874,5,3244,1972,597,3,1,0,929,490627
875,7,2845,2003,109,2,1,2,691,339913
876,10,827,1927,3326,2,1,4,172,419960
877,2,2126,1970,110,4,0,3,467,298922
878,10,1151,1918,592,1,0,3,880,455230
879,6,809,1983,1627,3,2,2,381,435863
880,2,2275,1939,1835,2,0,1,458,352400
881,9,2086,1954,1925,3,0,2,426,271567
882,10,1075,1998,2197,1,1,3,630,237569
883,1,732,1969,2644,3,0,0,173,195473
884,6,1888,1992,2979,4,1,3,52,418411
885,1,1281,1946,3378,1,1,1,277,77805
886,1,2477,1981,1639,1,1,4,398,76422
887,2,2066,2008,928,3,1,3,732,100018
888,6,1917,1999,2698,3,0,2,613,390925
889,2,3415,1990,2272,4,1,0,207,240394
890,3,3445,1911,3322,2,1,1,741,405646
891,5,1057,1938,2981,3,0,2,308,328312
892,1,574,1995,3485,3,0,4,803,188996
893,6,3207,1994,1887,3,1,3,955,93374
894,6,648,1965,2317,3,1,1,581,339998
895,5,2735,1970,1448,2,2,2,564,77200
896,7,2012,1933,1246,1,1,0,576,289078
897,9,2909,1973,1012,2,0,2,543,407403
898,3,1563,1921,3329,2,2,1,67,442209
899,10,3296,1960,415,1,1,1,603,219600
900,6,2557,1936,1177,2,1,3,424,293537
901,3,3255,1950,19,1,1,0,57,105463
902,2,1716,1982,1865,1,0,0,951,432402
903,10,3457,1901,2039,2,1,4,746,477908
904,1,939,1990,3209,3,1,2,538,371315
905,9,2195,1923,589,4,0,1,42,285883
906,1,1031,1920,105,3,0,2,61,122011
907,7,3073,2007,1067,2,1,3,331,399990
908,6,1816,1967,2154,2,2,0,37,376792
909,7,847,1949,130,2,1,1,210,478365
910,7,2743,2009,3466,1,0,3,53,478398
911,4,1487,1938,2374,3,0,2,228,350767
912,10,2253,1935,1079,1,2,4,385,377963
913,6,2165,1900,1112,3,0,1,652,87677
914,8,3203,1938,146,2,1,0,490,185907
915,4,2505,1985,1548,4,1,3,521,301590
916,1,1301,2001,2792,4,2,1,875,56093
917,1,2866,1986,1881,2,0,0,649,211712
918,5,1220,1976,1552,4,1,4,512,142554
919,8,2653,1976,3203,4,2,4,817,334666
920,5,2624,1944,2279,2,2,4,576,126251
921,8,2870,2006,3087,4,2,3,639,458371
922,7,2544,1966,573,4,1,2,695,467442
923,5,2992,1999,2202,1,1,4,650,122562
924,8,2516,1990,1570,3,1,0,83,271662
925,4,1272,1950,1234,4,2,0,380,300716
926,8,1259,1999,2558,3,2,2,973,272017
927,7,2225,1925,88,3,1,4,292,336919
928,4,3064,1975,702,1,1,2,541,282447
929,2,3244,2022,1042,4,2,4,722,448744
930,6,1340,1987,1561,3,2,4,40,120215
931,7,1602,1994,1220,4,2,2,651,158015
932,7,2702,1913,1000,3,1,4,689,62477
933,7,709,1945,1561,4,1,4,412,430021
934,2,927,2013,2880,3,0,4,105,387952
935,8,1805,1901,1614,1,1,2,204,496536
936,2,1910,2021,1916,3,2,2,889,356201
937,8,1823,2013,253,1,1,1,388,328403
938,4,751,1927,1053,4,1,0,806,184807
939,6,1229,1992,171,1,0,0,601,238802
940,6,1562,2016,2396,2,0,2,187,195086
941,10,2811,2010,2777,2,2,2,748,459412
942,7,2675,1906,3355,3,2,4,636,293150
943,1,2068,1926,1205,1,0,1,293,287972
944,8,2661,1989,305,2,2,1,196,278817
945,9,2269,1926,218,4,1,0,64,366299
946,3,2342,1942,609,4,1,2,364,77377
947,9,1037,1962,3324,2,2,2,31,90659
948,10,1445,1926,2088,4,2,3,164,62976
949,9,1662,1970,2652,2,2,3,868,259404
950,10,2158,1950,210,3,1,2,418,132373
951,10,1607,1974,2781,4,2,1,700,207542
952,3,1731,1908,1670,1,0,0,526,98275
953,10,961,1931,320,2,1,1,779,60618
954,1,1788,1920,460,2,0,1,95,186733
955,5,3032,2003,3465,4,2,4,346,81464
956,9,684,1901,1001,3,2,3,326,453675
957,8,3143,2002,1853,4,0,1,481,89774
958,10,2006,2008,6,4,2,4,382,227822
959,5,1874,1933,2562,1,1,0,133,283276
960,4,2356,1989,1021,3,1,1,586,375823
961,1,3114,1935,1323,4,2,1,464,459653
962,7,1691,1939,3406,1,1,2,774,223529
963,7,3032,1902,1833,1,1,2,852,130671
964,10,1830,1905,74,1,0,0,186,374103
965,9,1092,1966,3195,1,2,1,469,377845
966,7,2668,2004,459,3,2,3,56,374266
967,9,3120,1943,2043,1,2,4,243,106943
968,8,2144,1900,3419,1,0,0,190,431366
969,4,1208,2012,1665,3,1,2,335,167207
970,10,1740,1968,2244,3,0,3,551,376524
971,9,2477,2005,2877,3,1,3,999,353701
972,2,2811,1919,1952,2,1,3,116,72975
973,3,2086,1924,2211,4,1,4,356,366880
974,8,2561,2019,780,4,2,4,480,123048
975,4,1969,1900,385,2,1,0,584,363062
976,6,3263,2010,1419,3,0,0,305,104510
977,5,2246,1978,2369,2,0,0,747,272275
978,3,1840,1968,834,4,1,3,518,387730
979,9,1366,2001,3499,3,1,0,734,71764
980,3,1892,1996,2998,1,0,4,763,422286
981,8,1478,2021,139,2,1,4,848,197399
982,8,2814,1942,305,4,1,1,514,217726
983,4,702,1958,3476,2,0,1,321,338505
984,6,1503,1965,1940,4,1,3,596,194810
985,9,1998,1967,3494,1,0,0,444,249081
986,9,2064,2014,1508,4,1,4,613,428235
987,5,679,1939,2062,2,1,3,418,62809
988,4,1642,1950,1326,1,0,4,76,242486
989,1,1102,1909,2712,1,0,2,164,139833
990,7,1598,2009,1105,2,2,2,263,455215
991,8,1879,1900,1733,4,1,4,568,293705
992,5,2688,2000,725,2,2,1,23,99938
993,1,3052,1981,2412,4,2,4,334,144011
994,3,2972,1987,2650,2,0,2,94,376970
995,7,525,2001,698,3,1,4,567,148777
996,2,863,1947,1381,4,1,4,58,258966
997,8,1392,1963,203,2,0,1,553,348957
998,2,921,2005,1705,3,0,0,600,233760
999,8,3252,1930,3016,4,2,4,203,394155
1000,9,3336,1953,1961,2,0,2,26,214000
